commit_hash,parent_commit,commit_date,package_path,pre_pname,pre_version,pre_fetcher_content,pre_builder_type,pre_nixpkgs_base,post_pname,post_version,post_fetcher_content,post_builder_type,post_nixpkgs_base,version_changed,fetcher_hash_changed,fetcher_url_changed,fetcher_type_changed,builder_changed,change_category,diff_lines_added,diff_lines_removed,diff_lines_total,previous_update_date,previous_update_commit,days_since_previous_update,package_added_date,hybrid_build_success,hybrid_build_time,random_order,post_src_ref,post_src_ref_attr
bf6b16d9436fb6ac6fbda122484ae9ccb03e073c,a79205061ea62ed3ba3286227c420bc0fd23fbe0,2025-09-22,pkgs/by-name/wo/wox/package.nix,wox-ui-flutter,2.0.0-beta.4,"fetchFromGitHub {␤    owner = ""Wox-launcher"";␤    repo = ""Wox"";␤    tag = ""v${version}"";␤    hash = ""sha256-KOndb8snDk1BwOontI5G9wnBBvO8KV85YF5zzp95t/M="";␤  }",mkDerivation,a1f79a1770d05af18111fbbe2a3ab2c42c0f6cd0,wox-ui-flutter,2.0.0-beta.5,"fetchFromGitHub {␤    owner = ""Wox-launcher"";␤    repo = ""Wox"";␤    tag = ""v${version}"";␤    hash = ""sha256-ZuKsIWooLqGeEex8uRiMVYVxnAJyiQt0soZ9OP6+qq0="";␤  }",mkDerivation,a1f79a1770d05af18111fbbe2a3ab2c42c0f6cd0,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,5,5,10,2025-08-25,016140d8abd1a914bf3a5f94d87cb4b96f66dfdf,28,2025-03-13,FALSE,148.52,183,v2.0.0-beta.5,tag
1d4e4fe41f9256aab5b81e84f00b43745150ff14,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-21,pkgs/by-name/go/google-guest-oslogin/package.nix,google-guest-oslogin,20230831,"fetchFromGitHub {␤    owner = ""GoogleCloudPlatform"";␤    repo = ""guest-oslogin"";␤    rev = version;␤    sha256 = ""sha256-9QCB94HVbeLjioJuSN1Aa+EqFncojPoWFxw5mS9bDGw="";␤  }",mkDerivation,90ade7da38aa49c2e2693a04a44662a0e61530e9,google-guest-oslogin,20250821,"fetchFromGitHub {␤    owner = ""GoogleCloudPlatform"";␤    repo = ""guest-oslogin"";␤    rev = version;␤    sha256 = ""sha256-dvLr3rOzHs5gRbllxqmnkLlHUFYv9Hm2vz6AkwZoZy4="";␤  }",mkDerivation,a1f79a1770d05af18111fbbe2a3ab2c42c0f6cd0,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,2,2,4,2025-04-08,a19cd4ffb1f4b953a76f3ac29c6520d0b1877108,166,2024-11-09,FALSE,0,184,20250821,rev
4fcb5e4845c012046f95409a0c4953692d99b737,41cae5beb603cdb8d05f880c1b606cf2c7e6b383,2025-09-13,pkgs/by-name/mu/mu/package.nix,mu,1.12.12,"fetchFromGitHub {␤    owner = ""djcb"";␤    repo = ""mu"";␤    rev = ""v${version}"";␤    hash = ""sha256-ZdVzyfzTsGn3DaeOEXZFA/wX8MxIeD45FaKYU6okr4Y="";␤  }",mkDerivation,6b0b1559e918d4f7d1df398ee1d33aeac586d4d6,mu,1.12.13,"fetchFromGitHub {␤    owner = ""djcb"";␤    repo = ""mu"";␤    rev = ""v${finalAttrs.version}"";␤    hash = ""sha256-rz0bxgJtz4qHrfHRjJhnvxtFFNM89A39YH9oJ2YGC5g="";␤  }",mkDerivation,6d7ec06d6868ac6d94c371458fc2391ded9ff13d,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,10,5,15,2025-07-19,aa785680db194e6a77f42054d417984f7818937d,56,2024-11-09,FALSE,0.22,185,v1.12.13,rev
1a5ffd7a5521c3a6e4269caf285748523976a7ff,68774bdff8f7eca37fb29a9ad25818fdfc8fb414,2025-09-18,pkgs/by-name/ur/uradvd/package.nix,uradvd,0-unstable-2025-08-16,"fetchFromGitHub {␤    owner = ""freifunk-gluon"";␤    repo = ""uradvd"";␤    rev = ""b37524dfb0292c425fd61f5bffb3101fb1979264"";␤    hash = ""sha256-PyOAt9dTFdHHF7OlHi9BBTjCN2Hmk8BsHkD2rV94ZDM="";␤  }",mkDerivation,12bd230118a1901a4a5d393f9f56b6ad7e571d01,uradvd,r26-1e64364d,"fetchFromGitHub {␤    owner = ""freifunk-gluon"";␤    repo = ""uradvd"";␤    rev = ""1e64364d323acb8c71285a6fb85d384334e7007d"";␤    deepClone = true;␤    hash = ""sha256-+MDhBuCPJ/dcKw4/z4PnXXGoNomIz/0QI32XfLR6fK0="";␤  }",mkDerivation,08b8f92ac6354983f5382124fef6006cade4a1c1,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,14,0,14,2025-09-09,0ebca7541f5900abcb2b17d6a0e1b9cb0f8df512,9,2025-09-09,TRUE,1.14,187,1e64364d323acb8c71285a6fb85d384334e7007d,rev
58161f2f17b552ab55dd803e073872c3104cf72f,fb79e182748758cccaf25a5ef1645ba189e6b334,2025-09-21,pkgs/data/icons/beauty-line-icon-theme/default.nix,BeautyLine,0.0.4,"fetchFromGitHub {␤    owner = ""gvolpe"";␤    repo = pname;␤    rev = version;␤    sparseCheckout = [␤      ""BeautyLine-V3""␤    ];␤    hash = ""sha256-IkkypAj250+OXbf19TampCnqYsSbJVIjeYlxJoyhpzk="";␤  }",mkDerivation,51c8f9cfaae8306d135095bcdb3df9027f95542d,BeautyLine,2.4,"fetchFromGitLab {␤    owner = ""garuda-linux"";␤    repo = ""themes-and-settings/artwork/beautyline"";␤    rev = ""0df6f5df71c19496f9a873f8a52fbb5e84e95b12"";␤    hash = ""sha256-SsYW4H1qam7kQJ3E4/vHJJOv2E4Pdk3itGncWa6YTqw="";␤  }",mkDerivation,51c8f9cfaae8306d135095bcdb3df9027f95542d,TRUE,TRUE,TRUE,TRUE,FALSE,mixed,4,9,13,2025-04-08,a19cd4ffb1f4b953a76f3ac29c6520d0b1877108,166,2021-02-26,FALSE,0.23,188,0df6f5df71c19496f9a873f8a52fbb5e84e95b12,rev
8bc01291dc0218a698a2e174979c4acc75cc96a2,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/by-name/pi/pick-colour-picker/package.nix,pick-colour-picker,unstable-2022-05-08,"fetchFromGitHub {␤    owner = ""stuartlangridge"";␤    repo = ""ColourPicker"";␤    rev = ""e3e4c2bcec5d7285425582b92bb564c74be2cf77"";␤    hash = ""sha256-vW8mZiB3JFQtbOCWauhJGfZMlGsA/nNcljNNPtJtgGw="";␤  }",buildPythonPackage,90ade7da38aa49c2e2693a04a44662a0e61530e9,pick-colour-picker,1.5.0-unstable-2022-05-08,"fetchFromGitHub {␤    owner = ""stuartlangridge"";␤    repo = ""ColourPicker"";␤    rev = ""e3e4c2bcec5d7285425582b92bb564c74be2cf77"";␤    hash = ""sha256-vW8mZiB3JFQtbOCWauhJGfZMlGsA/nNcljNNPtJtgGw="";␤  }",buildPythonPackage,51c8f9cfaae8306d135095bcdb3df9027f95542d,TRUE,FALSE,FALSE,FALSE,FALSE,version_bump,5,0,5,2025-07-11,ec6994d319f69154c2569e4980661144906ee59d,71,2025-06-21,FALSE,0.26,189,e3e4c2bcec5d7285425582b92bb564c74be2cf77,rev
99704729e56f3513840e1dab54c3df1568dd2bbc,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/applications/misc/sway-contrib/default.nix,grimshot,0-unstable-2024-03-19,"fetchFromGitHub {␤    owner = ""OctopusET"";␤    repo = ""sway-contrib"";␤    rev = ""5d33a290e3cac3f0fed38ff950939da28e3ebfd7"";␤    hash = ""sha256-2qYxkXowSSzVcpsPO4JoUqaH/VUkOOWu1RKFXp1CXGs="";␤  }",mkDerivation,90ade7da38aa49c2e2693a04a44662a0e61530e9,grimshot,1.11,"fetchFromGitHub {␤    owner = ""OctopusET"";␤    repo = ""sway-contrib"";␤    tag = version;␤    hash = ""sha256-/gWL0hA8hDjpK5YJxuZqmvo0zuVRQkhAkgHlI4JzNP8="";␤  }",mkDerivation,51c8f9cfaae8306d135095bcdb3df9027f95542d,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,3,3,6,2024-12-10,4f0dadbf38ee4cf4cc38cbc232b7708fddf965bc,284,2023-12-12,FALSE,0.23,190,1.11,tag
dbf5825d5647cb170bb18576f5d570daf3dd9eef,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/by-name/sn/snapper-gui/package.nix,snapper-gui,2020-10-20,"fetchFromGitHub {␤    owner = ""ricardomv"";␤    repo = ""snapper-gui"";␤    rev = ""f0c67abe0e10cc9e2ebed400cf80ecdf763fb1d1"";␤    sha256 = ""13j4spbi9pxg69zifzai8ifk4207sn0vwh6vjqryi0snd5sylh7h"";␤  }",buildPythonApplication,90ade7da38aa49c2e2693a04a44662a0e61530e9,snapper-gui,0.1-unstable-2022-06-26,"fetchFromGitHub {␤    owner = ""ricardomv"";␤    repo = ""snapper-gui"";␤    rev = ""191575084a4e951802c32a4177dc704cf435883a"";␤    sha256 = ""sha256-uy1oLJx4ERGc8OHzmPpnJX81jPB9ztrA0qbmm1UcmTY="";␤  }",buildPythonApplication,90ade7da38aa49c2e2693a04a44662a0e61530e9,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,5,0,5,2025-07-02,ae4a1a485a7c2f7be3283e76a3a1d42e4bb3a459,80,2024-11-09,FALSE,0.26,191,191575084a4e951802c32a4177dc704cf435883a,rev
06dcce749527e5dc440ddbd615df31adf52c22f2,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/by-name/es/escrotum/package.nix,escrotum,unstable-2020-12-07,"fetchFromGitHub {␤    owner = ""Roger"";␤    repo = ""escrotum"";␤    rev = ""a41d0f11bb6af4f08e724b8ccddf8513d905c0d1"";␤    sha256 = ""sha256-z0AyTbOEE60j/883X17mxgoaVlryNtn0dfEB0C18G2s="";␤  }",buildPythonApplication,90ade7da38aa49c2e2693a04a44662a0e61530e9,escrotum,1.0.1-unstable-2020-12-07,"fetchFromGitHub {␤    owner = ""Roger"";␤    repo = ""escrotum"";␤    rev = ""a41d0f11bb6af4f08e724b8ccddf8513d905c0d1"";␤    sha256 = ""sha256-z0AyTbOEE60j/883X17mxgoaVlryNtn0dfEB0C18G2s="";␤  }",buildPythonApplication,90ade7da38aa49c2e2693a04a44662a0e61530e9,TRUE,FALSE,FALSE,FALSE,FALSE,version_bump,5,0,5,2025-07-03,2bad2b0f4f6c4c88786834547b4e5d4ec4e7adeb,79,2024-11-09,FALSE,0.26,192,a41d0f11bb6af4f08e724b8ccddf8513d905c0d1,rev
013ffcf07cba098ae978f6ca4ccce03bba29da5e,aec2312d626dabe9cb76922bbbdc8c81dafd3600,2025-09-20,pkgs/by-name/me/memos/package.nix,memos-web,0.25.0,"fetchFromGitHub {␤    owner = ""usememos"";␤    repo = ""memos"";␤    rev = ""v${version}"";␤    hash = ""sha256-M1o7orU4xw/t9PjSFXNj7tiYTarBv7kIIj8X0r3QD8s="";␤  }",mkDerivation,90ade7da38aa49c2e2693a04a44662a0e61530e9,memos-web,0.25.1,"fetchFromGitHub {␤    owner = ""usememos"";␤    repo = ""memos"";␤    rev = ""v${version}"";␤    hash = ""sha256-5CeeOpdXs+6Vus4er8JVhJM0a7BKtGsF4SPdOoX5xQk="";␤  }",mkDerivation,90ade7da38aa49c2e2693a04a44662a0e61530e9,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,2,2,4,2025-07-19,a2e289514749801b3b26a28e5152813817cb13b0,63,2025-05-08,FALSE,18.12,193,v0.25.1,rev
