commit_hash,parent_commit,commit_date,package_path,pre_pname,pre_version,pre_fetcher_type,pre_fetcher_content,pre_builder_type,pre_nixpkgs_base,post_pname,post_version,post_fetcher_type,post_fetcher_content,post_builder_type,post_nixpkgs_base,fully_qualified_name,version_changed,fetcher_hash_changed,fetcher_url_changed,fetcher_type_changed,builder_changed,change_category,diff_lines_added,diff_lines_removed,diff_lines_total,previous_update_date,previous_update_commit,days_since_previous_update,package_added_date,update_sequence_num,total_updates_in_window,input_drvs_match,input_drvs_diff_count,package_attr,input_drvs_error,post_build_success,post_build_time,post_src_ref,hybrid_build_success,hybrid_build_time,random_order
1a5ffd7a5521c3a6e4269caf285748523976a7ff,68774bdff8f7eca37fb29a9ad25818fdfc8fb414,2025-09-18,pkgs/by-name/ur/uradvd/package.nix,uradvd,0-unstable-2025-08-16,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""freifunk-gluon"";␤    repo = ""uradvd"";␤    rev = ""b37524dfb0292c425fd61f5bffb3101fb1979264"";␤    hash = ""sha256-PyOAt9dTFdHHF7OlHi9BBTjCN2Hmk8BsHkD2rV94ZDM="";␤  }",mkDerivation,12bd230118a1901a4a5d393f9f56b6ad7e571d01,uradvd,r26-1e64364d,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""freifunk-gluon"";␤    repo = ""uradvd"";␤    rev = ""1e64364d323acb8c71285a6fb85d384334e7007d"";␤    deepClone = true;␤    hash = ""sha256-+MDhBuCPJ/dcKw4/z4PnXXGoNomIz/0QI32XfLR6fK0="";␤  }",mkDerivation,e2642aa7d5a15eae586932a56f4294934f959c14,uradvd,True,True,True,False,False,version_bump,13,0,13,,,,,1,1,False,2,uradvd,False,True,0.6543891429901123,1e64364d323acb8c71285a6fb85d384334e7007d,True,1.502608060836792,196
6542e2993189c87a8ed5ebe7364491481e2ee5d2,fcc32440dcf2adda51673866d6636c89a92f84e3,2025-09-21,pkgs/development/python-modules/githubkit/default.nix,githubkit,0.13.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""yanyongyu"";␤    repo = ""githubkit"";␤    tag = ""v${version}"";␤    hash = ""sha256-BhTGik8JZ9QxE8zmfgToU7rVkY8T5iykJx4Bg4evyzY="";␤  }",buildPythonPackage,a1f79a1770d05af18111fbbe2a3ab2c42c0f6cd0,githubkit,0.13.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""yanyongyu"";␤    repo = ""githubkit"";␤    tag = ""v${version}"";␤    hash = ""sha256-MxMzc6JMeQCJJ6rWQYofThJB1mUHTOj4ztD9zye84O4="";␤  }",buildPythonPackage,e2642aa7d5a15eae586932a56f4294934f959c14,python313Packages.githubkit,True,True,False,False,False,version_bump,2,5,7,,,,,1,1,False,2,python313Packages.githubkit,False,True,3.6966440677642822,refs/tags/v0.13.2,False,,197
de1e5f1eb3df1155f350d6da0c8a80cad3513d23,81251f5702104b33d1b8ee2a5f13573c888add0a,2025-09-21,pkgs/development/python-modules/django-bootstrap5/default.nix,django-bootstrap5,25.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""zostera"";␤    repo = ""django-bootstrap5"";␤    rev = ""v${version}"";␤    hash = ""sha256-5VYw9Kq33/YFW9mFzkFzhrxavfx6r/CtC1SJhZbanhg="";␤  }",buildPythonPackage,90ade7da38aa49c2e2693a04a44662a0e61530e9,django-bootstrap5,25.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""zostera"";␤    repo = ""django-bootstrap5"";␤    tag = ""v${version}"";␤    hash = ""sha256-aqP2IkAkZsw5vbQxhiy9L3giSgb0seub9gsxPTajiXo="";␤  }",buildPythonPackage,e2642aa7d5a15eae586932a56f4294934f959c14,python313Packages.django-bootstrap5,True,True,False,False,False,version_bump,2,5,7,,,,,1,1,False,2,python313Packages.django-bootstrap5,False,True,2.60538387298584,refs/tags/v25.2,False,,198
8233b0fdbbd132495c7e15a0e2db8bbe3e40b06e,d7bcba204c8bccbb3f116aa1568f5cb0614a5897,2025-09-21,pkgs/development/python-modules/django-bootstrap4/default.nix,django-bootstrap4,25.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""zostera"";␤    repo = ""django-bootstrap4"";␤    tag = ""v${version}"";␤    hash = ""sha256-WIz7T2f3xvsT2rSq1MUFwHpvzgHyLgTRpzb9z98sUmo="";␤  }",buildPythonPackage,51c8f9cfaae8306d135095bcdb3df9027f95542d,django-bootstrap4,25.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""zostera"";␤    repo = ""django-bootstrap4"";␤    tag = ""v${version}"";␤    hash = ""sha256-+G9UHW4eUGl00A/kDj+iTP7ehjj/dwUENKffvGxE6/4="";␤  }",buildPythonPackage,e2642aa7d5a15eae586932a56f4294934f959c14,python313Packages.django-bootstrap4,True,True,False,False,False,version_bump,2,2,4,,,,,1,1,False,2,python313Packages.django-bootstrap4,False,True,2.640683174133301,refs/tags/v25.2,False,,199
190a64ef119743174040f8272dfc2a639e488a38,587f34fcb52003d0947396b2888b82777ad96ed5,2025-09-21,pkgs/development/python-modules/airium/default.nix,airium,0.2.6,fetchFromGitLab,"fetchFromGitLab {␤    owner = ""kamichal"";␤    repo = ""airium"";␤    rev = ""v${version}"";␤    hash = ""sha256-qAU+rmj2ZHw7KdxVvRyponcPiRcyENfDyW1y9JTiwsY="";␤  }",buildPythonPackage,51c8f9cfaae8306d135095bcdb3df9027f95542d,airium,0.2.7,fetchFromGitLab,"fetchFromGitLab {␤    owner = ""kamichal"";␤    repo = ""airium"";␤    tag = ""v${version}"";␤    hash = ""sha256-sXyqGYBjyQ3Ig1idw+omrjj+ElknN9oemzob7NxFppo="";␤  }",buildPythonPackage,e2642aa7d5a15eae586932a56f4294934f959c14,python313Packages.airium,True,True,False,False,False,version_bump,2,2,4,,,,,1,1,True,0,python313Packages.airium,False,True,0.8611025810241699,refs/tags/v0.2.7,True,3.010570764541626,200
689bdd159f3057d795cd096070ae130dc60d9b98,a80e12c29e7c29b8c6033eef22854e0f42053955,2025-09-21,pkgs/development/python-modules/django-js-reverse/default.nix,django-js-reverse,0.10.1-b1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""BITSOLVER"";␤    repo = ""django-js-reverse"";␤    rev = version;␤    hash = ""sha256-i78UsxVwxyDAc8LrOVEXLG0tdidoQhvUx7GvPDaH0KY="";␤  }",buildPythonPackage,51c8f9cfaae8306d135095bcdb3df9027f95542d,django-js-reverse,0.10.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""vintasoftware"";␤    repo = ""django-js-reverse"";␤    tag = ""v${version}"";␤    hash = ""sha256-0S1g8tLWaJVV2QGPeiBOevhz9f0ueINxA9HOcnXuyYg="";␤  }",buildPythonPackage,e2642aa7d5a15eae586932a56f4294934f959c14,python313Packages.django-js-reverse,True,True,True,False,False,version_bump,12,7,19,,,,,1,1,False,4,python313Packages.django-js-reverse,False,True,1.8143625259399414,refs/tags/v0.10.2,True,3.3075225353240967,201
88e4d5754e2463117fc72333b3c09d7d310d7b7b,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/development/python-modules/smpp-pdu/default.nix,smpp-pdu,unstable-2022-09-02,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""hologram-io"";␤    repo = ""smpp.pdu"";␤    rev = ""20acc840ded958898eeb35ae9a18df9b29bdaaac"";␤    hash = ""sha256-/icVexc2S8sbJqn4ioeIhYxyDFIENuCfsFhl0uAHa9g="";␤  }",buildPythonPackage,90ade7da38aa49c2e2693a04a44662a0e61530e9,smpp-pdu,0.3-unstable-2022-09-01,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""hologram-io"";␤    repo = ""smpp.pdu"";␤    rev = ""20acc840ded958898eeb35ae9a18df9b29bdaaac"";␤    hash = ""sha256-/icVexc2S8sbJqn4ioeIhYxyDFIENuCfsFhl0uAHa9g="";␤  }",buildPythonPackage,e2642aa7d5a15eae586932a56f4294934f959c14,python3Packages.smpp-pdu,True,False,False,False,False,version_bump,5,0,5,,,,,1,1,True,0,python3Packages.smpp-pdu,False,True,0.549706220626831,20acc840ded958898eeb35ae9a18df9b29bdaaac,True,0.5870671272277832,202
8bc01291dc0218a698a2e174979c4acc75cc96a2,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/by-name/pi/pick-colour-picker/package.nix,pick-colour-picker,unstable-2022-05-08,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""stuartlangridge"";␤    repo = ""ColourPicker"";␤    rev = ""e3e4c2bcec5d7285425582b92bb564c74be2cf77"";␤    hash = ""sha256-vW8mZiB3JFQtbOCWauhJGfZMlGsA/nNcljNNPtJtgGw="";␤  }",buildPythonPackage,90ade7da38aa49c2e2693a04a44662a0e61530e9,pick-colour-picker,1.5.0-unstable-2022-05-08,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""stuartlangridge"";␤    repo = ""ColourPicker"";␤    rev = ""e3e4c2bcec5d7285425582b92bb564c74be2cf77"";␤    hash = ""sha256-vW8mZiB3JFQtbOCWauhJGfZMlGsA/nNcljNNPtJtgGw="";␤  }",buildPythonPackage,e2642aa7d5a15eae586932a56f4294934f959c14,pick-colour-picker,True,False,False,False,False,version_bump,5,0,5,,,,,1,1,True,0,pick-colour-picker,False,True,1.2572944164276123,e3e4c2bcec5d7285425582b92bb564c74be2cf77,True,1.2313427925109863,203
3c49875cc6a10d2a238fdb6a21b36fe939c33ac8,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/development/python-modules/inotify/default.nix,inotify,unstable-2020-08-27,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""dsoprea"";␤    repo = ""PyInotify"";␤    rev = ""f77596ae965e47124f38d7bd6587365924dcd8f7"";␤    hash = ""sha256-X0gu4s1R/Kg+tmf6s8SdZBab2HisJl4FxfdwKktubVc="";␤  }",buildPythonPackage,90ade7da38aa49c2e2693a04a44662a0e61530e9,inotify,0.2.12,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""dsoprea"";␤    repo = ""PyInotify"";␤    tag = version;␤    hash = ""sha256-x6wvrwLDH/9UMTsAIHwCKR5Avv1givlJFFeBM//FOdg="";␤  }",buildPythonPackage,53614373268559d054c080d070cfc732dbe68ac4,python3Packages.inotify,True,True,True,False,False,version_bump,14,15,29,,,,,1,1,False,2,python3Packages.inotify,False,True,0.7444860935211182,refs/tags/0.2.12,False,,204
dbf5825d5647cb170bb18576f5d570daf3dd9eef,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/by-name/sn/snapper-gui/package.nix,snapper-gui,2020-10-20,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""ricardomv"";␤    repo = ""snapper-gui"";␤    rev = ""f0c67abe0e10cc9e2ebed400cf80ecdf763fb1d1"";␤    sha256 = ""13j4spbi9pxg69zifzai8ifk4207sn0vwh6vjqryi0snd5sylh7h"";␤  }",buildPythonApplication,90ade7da38aa49c2e2693a04a44662a0e61530e9,snapper-gui,0.1-unstable-2022-06-26,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""ricardomv"";␤    repo = ""snapper-gui"";␤    rev = ""191575084a4e951802c32a4177dc704cf435883a"";␤    sha256 = ""sha256-uy1oLJx4ERGc8OHzmPpnJX81jPB9ztrA0qbmm1UcmTY="";␤  }",buildPythonApplication,53614373268559d054c080d070cfc732dbe68ac4,snapper-gui,True,True,True,False,False,version_bump,5,0,5,,,,,1,1,True,0,snapper-gui,False,True,1.5563998222351074,191575084a4e951802c32a4177dc704cf435883a,True,1.3705260753631592,205
06dcce749527e5dc440ddbd615df31adf52c22f2,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/by-name/es/escrotum/package.nix,escrotum,unstable-2020-12-07,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Roger"";␤    repo = ""escrotum"";␤    rev = ""a41d0f11bb6af4f08e724b8ccddf8513d905c0d1"";␤    sha256 = ""sha256-z0AyTbOEE60j/883X17mxgoaVlryNtn0dfEB0C18G2s="";␤  }",buildPythonApplication,90ade7da38aa49c2e2693a04a44662a0e61530e9,escrotum,1.0.1-unstable-2020-12-07,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Roger"";␤    repo = ""escrotum"";␤    rev = ""a41d0f11bb6af4f08e724b8ccddf8513d905c0d1"";␤    sha256 = ""sha256-z0AyTbOEE60j/883X17mxgoaVlryNtn0dfEB0C18G2s="";␤  }",buildPythonApplication,53614373268559d054c080d070cfc732dbe68ac4,escrotum,True,False,False,False,False,version_bump,5,0,5,,,,,1,1,True,0,escrotum,False,True,7.9267144203186035,a41d0f11bb6af4f08e724b8ccddf8513d905c0d1,True,2.275043249130249,206
013ffcf07cba098ae978f6ca4ccce03bba29da5e,aec2312d626dabe9cb76922bbbdc8c81dafd3600,2025-09-20,pkgs/by-name/me/memos/package.nix,memos-web,0.25.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""usememos"";␤    repo = ""memos"";␤    rev = ""v${version}"";␤    hash = ""sha256-M1o7orU4xw/t9PjSFXNj7tiYTarBv7kIIj8X0r3QD8s="";␤  }",mkDerivation,90ade7da38aa49c2e2693a04a44662a0e61530e9,memos-web,0.25.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""usememos"";␤    repo = ""memos"";␤    rev = ""v${version}"";␤    hash = ""sha256-5CeeOpdXs+6Vus4er8JVhJM0a7BKtGsF4SPdOoX5xQk="";␤  }",mkDerivation,ee4cd98afba682ca27242f2d7fdbd8583f6ef51a,memos,True,True,False,False,False,version_bump,3,3,6,,,,,1,1,False,2,memos,False,True,1.61619234085083,v0.25.1,False,,207
eb9071b6f230ae3c21347aca787d913aca6f9df0,52c032768a8bd0c7a23fdad4232e50a2962079c2,2025-09-20,pkgs/by-name/cr/crackql/package.nix,crackql,unstable-20230818,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""nicholasaleks"";␤    repo = ""CrackQL"";␤    # rev = ""refs/tags/${version}"";␤    # Switch to tag with the next update␤    rev = ""ac26a44c2dd201f65da0d1c3f95eaf776ed1b2dd"";␤    hash = ""sha256-XlHbGkwdOV1nobjtQP/M3IIEuzXHBuwf52EsXf3MWoM="";␤  }",buildPythonApplication,90ade7da38aa49c2e2693a04a44662a0e61530e9,crackql,1.0-unstable-2023-08-18,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""nicholasaleks"";␤    repo = ""CrackQL"";␤    # tag = version;␤    # Switch to tag (and remove the extraArgs from the updateScript) next update␤    rev = ""ac26a44c2dd201f65da0d1c3f95eaf776ed1b2dd"";␤    hash = ""sha256-XlHbGkwdOV1nobjtQP/M3IIEuzXHBuwf52EsXf3MWoM="";␤  }",buildPythonApplication,53614373268559d054c080d070cfc732dbe68ac4,crackql,True,False,True,False,False,version_bump,5,0,5,,,,,1,1,True,0,crackql,False,True,1.7890443801879883,ac26a44c2dd201f65da0d1c3f95eaf776ed1b2dd,True,1.8225889205932617,208
