commit_hash,parent_commit,commit_date,package_path,pre_pname,pre_version,pre_fetcher_type,pre_fetcher_content,pre_builder_type,pre_nixpkgs_base,post_pname,post_version,post_fetcher_type,post_fetcher_content,post_builder_type,post_nixpkgs_base,version_changed,fetcher_hash_changed,fetcher_url_changed,fetcher_type_changed,builder_changed,change_category,diff_lines_added,diff_lines_removed,diff_lines_total,previous_update_date,previous_update_commit,days_since_previous_update,package_added_date,input_drvs_match,input_drvs_diff_count,random_order,post_src_ref,post_src_ref_attr,nurl_supported
1a5ffd7a5521c3a6e4269caf285748523976a7ff,68774bdff8f7eca37fb29a9ad25818fdfc8fb414,2025-09-18,pkgs/by-name/ur/uradvd/package.nix,uradvd,0-unstable-2025-08-16,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""freifunk-gluon"";␤    repo = ""uradvd"";␤    rev = ""b37524dfb0292c425fd61f5bffb3101fb1979264"";␤    hash = ""sha256-PyOAt9dTFdHHF7OlHi9BBTjCN2Hmk8BsHkD2rV94ZDM="";␤  }",mkDerivation,12bd230118a1901a4a5d393f9f56b6ad7e571d01,uradvd,r26-1e64364d,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""freifunk-gluon"";␤    repo = ""uradvd"";␤    rev = ""1e64364d323acb8c71285a6fb85d384334e7007d"";␤    deepClone = true;␤    hash = ""sha256-+MDhBuCPJ/dcKw4/z4PnXXGoNomIz/0QI32XfLR6fK0="";␤  }",mkDerivation,08b8f92ac6354983f5382124fef6006cade4a1c1,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,13,0,13,2025-09-09,0ebca7541f5900abcb2b17d6a0e1b9cb0f8df512,9,2025-09-09,FALSE,2,30,1e64364d323acb8c71285a6fb85d384334e7007d,rev,yes
1d57d34285150d3086f320476fe6a4a64475b5c2,94500215ccd9b65faa6fd37fdeaa90d8df8b7e3b,2025-09-17,pkgs/by-name/li/lightway/package.nix,lightway,0-unstable-2025-09-04,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""expressvpn"";␤    repo = ""lightway"";␤    rev = ""4eb836158607c83d47226703de5a043519586782"";␤    hash = ""sha256-sNhTdJTxNxHMVswyzizgBfGbmJhYmMZY/5nVD7ScLjM="";␤  }",buildRustPackage,08b8f92ac6354983f5382124fef6006cade4a1c1,lightway,0-unstable-2025-09-19,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""expressvpn"";␤    repo = ""lightway"";␤    rev = ""dac72eb8af0994de020d71d24114717ecfb9804d"";␤    hash = ""sha256-oHxHJ4D/Xg/zAFiI0bMX3Dc05HXIjk+ZHuGY03cwY+c="";␤  }",buildRustPackage,08b8f92ac6354983f5382124fef6006cade4a1c1,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,4,3,7,2025-09-06,34e35a0ca6c348bd05bbe5bab3ded066ff576b68,11,2025-09-06,FALSE,2,31,dac72eb8af0994de020d71d24114717ecfb9804d,rev,yes
e575a9dcf1eaf150245a545050e5071dba732dfd,41239f03433fe534c51a1526bed9214ab2a3582f,2025-09-20,pkgs/by-name/mi/miriway/package.nix,miriway,25.02.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Miriway"";␤    repo = ""Miriway"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-+HHHF9dhVYMxugJZckAnQduuSBLAw5StbwRJF5Fz+rU="";␤  }",mkDerivation,90ade7da38aa49c2e2693a04a44662a0e61530e9,miriway,25.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Miriway"";␤    repo = ""Miriway"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-VAYnIMspGKSeqg+9YG6WrmoeaNNg0uLE3Ht4jJZSLLk="";␤  }",mkDerivation,90ade7da38aa49c2e2693a04a44662a0e61530e9,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,4,0,4,2025-03-14,b00bbc10acd3f9256cdd0db5d21f8b059e9c960e,190,2024-10-02,FALSE,2,32,v25.1,tag,yes
a3b1f1c196168ac8ad334ba8d46bd282f50f8fea,2a6021fc931e173da157d6e4b804329665e463b2,2025-09-20,pkgs/by-name/wo/wofi-power-menu/package.nix,wofi-power-menu,0.3.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""szaffarano"";␤    repo = ""wofi-power-menu"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-3m4zTmjYn1WGdW5dY4tzYxOxdw0spwYxZFRhdBwWf2I="";␤  }",buildRustPackage,90ade7da38aa49c2e2693a04a44662a0e61530e9,wofi-power-menu,0.3.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""szaffarano"";␤    repo = ""wofi-power-menu"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-EQHmi530ePlYRdjj/b+iF5edQFolZF0oVjSpyOE1Uk8="";␤  }",buildRustPackage,90ade7da38aa49c2e2693a04a44662a0e61530e9,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,2,10,12,2025-08-16,694bb7a3a2a9e6e5bc69fbbcf88767fc9ce2e7bc,35,2025-01-07,FALSE,1,33,v0.3.2,tag,yes
18d33c67a32eb7df53afac061786945b8365e612,65c78cd07e79ed7004144ec2fbb17ea2eb90c65c,2025-09-19,pkgs/by-name/be/beanprice/package.nix,beanprice,2.0.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""beancount"";␤    repo = ""beanprice"";␤    tag = ""v${version}"";␤    hash = ""sha256-+bqYnTzZByJlCPUhThM2B9UjgdWzjF21Yiw3fQAZ6k4="";␤  }",buildPythonApplication,12bd230118a1901a4a5d393f9f56b6ad7e571d01,beanprice,2.1.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""beancount"";␤    repo = ""beanprice"";␤    tag = ""v${version}"";␤    hash = ""sha256-Lhr8CRysZbI6dpPwRSN6DgvnKrxsIzH5YyZXRLU1l3Q="";␤  }",buildPythonApplication,12bd230118a1901a4a5d393f9f56b6ad7e571d01,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,7,0,7,2025-02-21,b6b0b0911edc3200af013cca4974dc7ec30b0994,210,2024-07-09,FALSE,2,34,v2.1.0,tag,yes
e27dc8113cfef883ae9242793ad2c9a94a1888f5,db5d517d4fe3d5e46c2257260bf539741495fbed,2025-09-18,pkgs/by-name/ma/mattermost-desktop/package.nix,mattermost-desktop,5.12.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""mattermost"";␤    repo = ""desktop"";␤    tag = ""v${version}"";␤    hash = ""sha256-Sn6gKkeN+wRgTnFtQ9ewAFvRsRdXVo11ibaxFvSG7dg="";␤  }",buildNpmPackage,08b8f92ac6354983f5382124fef6006cade4a1c1,mattermost-desktop,5.13.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""mattermost"";␤    repo = ""desktop"";␤    tag = ""v${version}"";␤    hash = ""sha256-0SEA5zka7Uv82bFS0vqnzipu0Yhb5EJ/20sBkf150cc="";␤  }",buildNpmPackage,124b966f89fad5468ca67ac7ee15af4ecce49b47,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,3,3,6,2025-07-02,86dfe6fb8ed8246ed2aa2f49b2fc775eea939c06,78,2024-11-09,FALSE,4,35,v5.13.1,tag,yes
3fc9162b8c9d82837714266deb9cfe43d49cc97c,434ed09bd161bb1058612038479dc34863c3f106,2025-09-15,pkgs/by-name/cl/clever-tools/package.nix,clever-tools,3.14.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""CleverCloud"";␤    repo = ""clever-tools"";␤    rev = version;␤    hash = ""sha256-3nCfo54p7O4Oik3fTf842IahEQnu26oPS5aOgHdhJKg="";␤  }",buildNpmPackage,88cef159e47c0dc56f151593e044453a39a6e547,clever-tools,4.1.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""CleverCloud"";␤    repo = ""clever-tools"";␤    rev = version;␤    hash = ""sha256-ntKxMlRBE0WoaO2Fmpymhm7y7kCwe197sotNzpK92C4="";␤  }",buildNpmPackage,88cef159e47c0dc56f151593e044453a39a6e547,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,10,4,14,2025-09-07,ef7cc9810438d39036bde67fa43682ed6bc5fe16,8,2024-05-27,FALSE,2,36,4.1.0,rev,yes
967f74d00b26bcc4ccf7c047dee68b57b0315c1c,493eebd470cb30b71553f963751f07232c0539ac,2025-09-12,pkgs/by-name/cr/cryfs/package.nix,cryfs,0.11.4,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""cryfs"";␤    repo = ""cryfs"";␤    rev = version;␤    hash = ""sha256-OkJhLg+YzS3kDhlpUQe9A+OiVBPG/iKs6OU7aKFJ5wY="";␤  }",mkDerivation,08b8f92ac6354983f5382124fef6006cade4a1c1,cryfs,1.0.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""cryfs"";␤    repo = ""cryfs"";␤    rev = version;␤    hash = ""sha256-QzxJUh6nD6243x443b0tIb1v2Zs8jRUk8IVarNqs47M="";␤  }",mkDerivation,ad4e6dd68c30bc8bd1860a27bc6f0c485bd7f3b6,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,3,2,5,2025-07-22,5a0711127cd8b916c3d3128f473388c8c79df0da,52,2024-11-09,FALSE,1,37,1.0.1,rev,yes
709e9c4de274d9e5a359a5c093915f9ce8402974,fd76dc9e7c68ac7c3941ba2af2bedcd79c5cf4ed,2025-09-15,pkgs/by-name/sq/sqlite3-to-mysql/package.nix,sqlite3-to-mysql,2.4.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""techouse"";␤    repo = ""sqlite3-to-mysql"";␤    tag = ""v${version}"";␤    hash = ""sha256-wyUJW7G92O3jnwSL5zFy/k/jI6c1H23xYcq7S8wAmsc="";␤  }",buildPythonApplication,0b96957fb614f693d0cee1bd65fbfc0e610df47f,sqlite3-to-mysql,2.4.5,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""techouse"";␤    repo = ""sqlite3-to-mysql"";␤    tag = ""v${version}"";␤    hash = ""sha256-oJQR54g6TAf1jZOa2RXJxmBVbC65nmb2KRQpgppK6us="";␤  }",buildPythonApplication,0b96957fb614f693d0cee1bd65fbfc0e610df47f,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,19,17,36,2025-08-05,7762972637c79e985df199ca8f57639a831f93f9,41,2024-11-09,FALSE,1,38,v2.4.5,tag,yes
155220903f5b20d857cd6222c37f63280517537c,b36cf083b3886268451d209393d5bff5e24ed5f7,2025-09-15,pkgs/by-name/ga/gam/package.nix,gam,6.58,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""GAM-team"";␤    repo = ""GAM"";␤    tag = ""v${version}"";␤    sha256 = ""sha256-AIaPzYavbBlJyi9arZN8HTmUXM7Tef0SIfE07PmV9Oo="";␤  }",buildPythonApplication,0b96957fb614f693d0cee1bd65fbfc0e610df47f,gam,7.21.01,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""GAM-team"";␤    repo = ""GAM"";␤    tag = ""v${version}"";␤    hash = ""sha256-Xj9GTNVuRddu3YQtXD/+yM/MNMxXUkfprtIFAm9SnA4="";␤  }",buildPythonApplication,0b96957fb614f693d0cee1bd65fbfc0e610df47f,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,14,18,32,2025-06-03,e61bb30305eaa4ba193dbd09a6895c6a92958cd5,104,2024-11-09,FALSE,10,39,v7.21.01,tag,yes
